Eoscansor_cobrensis	(303.7:298.9)										
Apsisaurus_witteri	(292.5:291)										
Ascendonanus_nestleri	(297.0:295)										
Archaeovenator_hamiltonensis	(303.7:298.9)										
Dendromaia_unamakiensis	(309:303.7)										
Pyozia_mesenensis	(270:265.0)										
Cabarzia_trostheidei	(298.5:297)										
Mesenosaurus_romeri	(270:265.0)	(270:265.0)	(270:265.0)	(270:265.0)	(270:265.0)	(270:265.0)	(270:265.0)	(270:265.0)	(270:265.0)	(270:265.0)	(270:265.0)
Mesenosaurus_efremovi 	(289:283.3)										
Heleosaurus_scholtzi	(262.0:260.0)										
Elliotsmithia_longiceps	(262.0:260.0)										
Anningia_megalops	(262.0:260.0)										
Microvaranops_parentis	(262.0:260.0)										
Mycterosaurus_longiceps	(289:283.3)	(286.5:283)	(286.5:283)								
Varanops_brevirostris	(289:283.3)	(283:280)	(280:278)								
Varanodon_agilis	(272:270.0)										
Watongia_meieri	(272:270.0)										
Tambacarnifex_unguifalcatus	(293:290)	(293:290)									
Ruthiromia_elcobriensis	(298.9:293.5)										
Aerosaurus_wellesi	(298.9:293.5)										
Aerosaurus_greenleeorum	(303.7:298.9)										
